u,v,weight,max_capacity,time,damage
243,115,3.75,9999999,10.1,0
74,267,3.53,9999999,9.1,0
33,74,3.55,9999999,9.3,0
101,59,3.67,9999999,7.3,0
99,51,13.35,9999999,23.2,0
249,193,3.56,9999999,8.3,0
36,78,3.58,9999999,8.5,0
36,53,3.71,9999999,10.4,0
42,64,17.09,9999999,34.0,0
164,148,5.19,9999999,10.9,0
206,214,3.63,9999999,9.4,0
68,104,3.58,9999999,6.8,0
233,80,3.51,9999999,8.7,0
89,36,3.62,9999999,9.9,0
100,247,3.98,9999999,7.3,0
12,58,3.67,9999999,9.2,0
7,248,3.85,9999999,7.8,0
113,191,3.36,9999999,9.7,0
113,105,3.75,9999999,9.4,0
26,254,3.97,9999999,13.2,0
249,71,3.76,9999999,10.3,0
100,12,3.88,9999999,11.2,0
28,121,3.73,9999999,7.0,0
97,18,3.7,9999999,6.0,0
242,142,3.55,9999999,9.2,0
221,13,3.8,9999999,11.6,0
220,13,8.09,9999999,19.1,0
75,39,3.7,9999999,9.4,0
165,107,3.61,9999999,10.7,0
211,200,2.97,9999999,9.4,0
130,35,13.67,9999999,25.4,0
76,220,3.57,9999999,8.3,0
26,183,4.17,9999999,13.3,0
96,113,3.2,9999999,8.2,0
140,37,11.33,9999999,28.0,0
173,206,3.89,9999999,10.1,0
212,189,3.74,9999999,10.8,0
239,4,4.14,9999999,8.1,0
222,2,4.61,9999999,9.1,0
214,204,3.73,9999999,10.4,0
173,250,4.09,9999999,10.5,0
80,109,4.25,9999999,10.7,0
150,169,3.71,9999999,10.8,0
77,16,11.31,9999999,28.2,0
222,277,4.63,9999999,9.2,0
195,32,4.08,9999999,14.5,0
3,264,4.28,9999999,8.5,0
119,37,5.25,9999999,15.0,0
79,94,4.12,9999999,13.3,0
3,256,4.2,9999999,8.2,0
218,158,3.98,9999999,8.5,0
238,44,3.62,9999999,5.9,0
153,252,3.75,9999999,8.6,0
243,79,4.37,9999999,12.7,0
279,32,4.24,9999999,14.2,0
84,40,4.23,9999999,15.3,0
221,241,4.26,9999999,12.1,0
162,172,3.79,9999999,12.7,0
119,113,4.47,9999999,13.4,0
108,28,3.92,9999999,7.4,0
197,146,3.79,9999999,11.9,0
164,34,3.92,9999999,8.3,0
252,66,4.1,9999999,11.1,0
118,26,8.11,9999999,21.1,0
126,66,3.9,9999999,14.9,0
134,263,4.04,9999999,9.4,0
3,257,4.49,9999999,10.2,0
239,263,4.26,9999999,8.6,0
163,136,4.62,9999999,10.9,0
8,95,4.29,9999999,11.5,0
251,275,4.1,9999999,11.3,0
211,205,3.99,9999999,12.9,0
70,148,4.67,9999999,10.2,0
226,205,4.16,9999999,10.0,0
99,220,6.78,9999999,13.6,0
234,266,4.73,9999999,11.9,0
7,188,4.12,9999999,8.2,0
48,66,3.98,9999999,14.9,0
27,97,12.08,9999999,18.4,0
271,97,12.1,9999999,18.5,0
180,102,4.25,9999999,7.0,0
76,265,4.57,9999999,11.4,0
41,61,3.92,9999999,6.5,0
251,235,4.19,9999999,11.6,0
251,50,4.21,9999999,11.2,0
211,265,4.19,9999999,15.2,0
141,234,4.17,9999999,9.7,0
211,189,4.3,9999999,13.7,0
167,128,4.88,9999999,11.1,0
118,171,4.97,9999999,11.0,0
90,50,8.73,9999999,21.9,0
163,68,3.93,9999999,9.0,0
84,8,4.55,9999999,13.5,0
222,203,11.95,9999999,21.0,0
32,258,4.45,9999999,15.4,0
130,237,4.16,9999999,5.9,0
271,132,4.66,9999999,8.1,0
27,132,4.63,9999999,8.0,0
178,147,4.38,9999999,10.6,0
197,69,4.32,9999999,13.1,0
166,26,4.72,9999999,15.0,0
165,147,4.53,9999999,10.0,0
243,80,4.43,9999999,12.0,0
221,203,6.61,9999999,14.4,0
221,265,4.51,9999999,14.2,0
166,49,5.53,9999999,15.4,0
238,141,4.4,9999999,8.6,0
70,111,4.42,9999999,9.2,0
140,113,4.05,9999999,12.9,0
118,154,3.9,9999999,7.8,0
105,37,4.53,9999999,11.2,0
16,75,4.48,9999999,11.9,0
167,107,4.97,9999999,13.5,0
167,260,5.28,9999999,12.2,0
27,270,4.97,9999999,9.5,0
271,270,4.99,9999999,9.6,0
165,129,5.49,9999999,16.3,0
168,222,5.05,9999999,8.6,0
276,166,4.51,9999999,12.2,0
84,95,5.02,9999999,19.3,0
110,245,4.65,9999999,9.1,0
32,10,5.98,9999999,21.1,0
153,94,5.04,9999999,14.6,0
178,17,4.63,9999999,7.9,0
151,24,4.62,9999999,10.8,0
162,123,4.69,9999999,14.4,0
226,200,5.03,9999999,13.7,0
266,238,5.07,9999999,11.5,0
43,113,4.36,9999999,10.5,0
141,261,4.77,9999999,10.4,0
279,195,4.86,9999999,11.6,0
72,168,4.8,9999999,10.8,0
201,138,4.93,9999999,15.6,0
100,231,5.12,9999999,12.4,0
219,200,5.32,9999999,15.7,0
185,71,5.08,9999999,10.7,0
216,212,5.16,9999999,9.2,0
268,41,4.8,9999999,9.6,0
43,37,5.03,9999999,9.8,0
217,220,6.09,9999999,16.4,0
90,246,5.19,9999999,13.4,0
198,232,5.11,9999999,14.0,0
281,138,5.09,9999999,17.3,0
166,118,8.25,9999999,22.4,0
85,92,4.76,9999999,8.8,0
266,261,5.44,9999999,13.1,0
125,176,5.13,9999999,8.9,0
125,132,5.38,9999999,9.2,0
219,205,5.62,9999999,12.4,0
217,210,5.73,9999999,15.4,0
45,12,8.99,9999999,19.7,0
6,152,5.47,9999999,15.1,0
213,138,5.23,9999999,17.4,0
226,216,5.42,9999999,8.4,0
167,127,5.97,9999999,14.3,0
247,52,4.98,9999999,9.5,0
60,24,5.21,9999999,11.0,0
215,267,5.23,9999999,9.3,0
279,258,5.49,9999999,14.2,0
197,142,5.16,9999999,14.4,0
281,32,5.25,9999999,18.1,0
72,98,6.09,9999999,11.9,0
50,57,6.03,9999999,15.3,0
108,12,5.64,9999999,13.4,0
215,61,5.4,9999999,9.5,0
226,189,5.41,9999999,12.9,0
215,33,5.33,9999999,9.7,0
181,50,10.38,9999999,26.2,0
110,56,5.41,9999999,12.8,0
90,251,9.65,9999999,24.4,0
213,32,5.91,9999999,20.5,0
249,178,5.47,9999999,13.1,0
219,189,5.81,9999999,16.2,0
121,247,5.43,9999999,9.3,0
216,219,5.98,9999999,9.4,0
41,45,4.93,9999999,10.1,0
201,32,5.72,9999999,19.3,0
67,246,5.44,9999999,11.6,0
6,278,5.88,9999999,16.9,0
216,205,5.92,9999999,10.3,0
16,134,11.6,9999999,25.5,0
85,83,5.68,9999999,9.1,0
110,159,5.83,9999999,14.1,0
14,201,5.94,9999999,19.2,0
105,179,14.2,9999999,35.0,0
16,39,12.33,9999999,26.5,0
96,179,5.6,9999999,17.1,0
131,215,5.86,9999999,12.3,0
10,276,5.84,9999999,25.4,0
6,81,6.29,9999999,18.8,0
276,258,5.95,9999999,18.5,0
14,281,6.1,9999999,20.5,0
217,265,6.87,9999999,18.8,0
119,179,14.93,9999999,38.8,0
180,90,28.4,9999999,51.0,0
67,1,5.84,9999999,13.4,0
276,118,9.4,9999999,20.5,0
96,140,7.25,9999999,21.4,0
181,90,1.65,9999999,4.3,0
207,201,6.9,9999999,18.9,0
87,266,6.76,9999999,14.4,0
181,251,11.29,9999999,28.7,0
234,33,6.75,9999999,14.6,0
85,40,6.88,9999999,12.8,0
192,157,6.88,9999999,14.9,0
58,231,7.07,9999999,17.2,0
6,174,7.0,9999999,21.5,0
67,235,6.58,9999999,15.5,0
43,179,6.76,9999999,19.3,0
279,10,6.79,9999999,18.9,0
87,141,7.38,9999999,17.3,0
67,275,6.87,9999999,16.7,0
52,108,6.97,9999999,12.8,0
185,147,7.35,9999999,17.6,0
102,181,6.88,9999999,18.6,0
102,90,24.84,9999999,48.4,0
58,100,7.39,9999999,21.1,0
121,108,7.42,9999999,12.5,0
207,281,7.68,9999999,22.4,0
31,249,7.32,9999999,14.5,0
185,17,7.6,9999999,14.9,0
88,240,7.88,9999999,21.8,0
31,277,9.43,9999999,17.1,0
31,2,9.4,9999999,17.0,0
192,153,8.03,9999999,19.1,0
192,252,7.88,9999999,17.1,0
58,54,8.43,9999999,19.9,0
180,50,30.66,9999999,56.8,0
232,97,11.83,9999999,32.8,0
88,272,8.58,9999999,23.1,0
74,215,8.41,9999999,17.6,0
87,33,8.78,9999999,17.1,0
92,8,8.14,9999999,13.9,0
232,125,9.1,9999999,28.8,0
192,109,9.37,9999999,19.6,0
31,147,9.12,9999999,18.6,0
88,18,9.64,9999999,23.1,0
236,96,21.37,9999999,50.2,0
202,97,13.35,9999999,36.4,0
236,113,18.18,9999999,42.0,0
202,125,10.62,9999999,32.4,0
102,1,21.49,9999999,39.1,0
88,63,10.69,9999999,24.6,0
92,83,10.44,9999999,17.6,0
236,140,14.51,9999999,30.9,0
236,43,27.43,9999999,49.7,0
54,12,12.03,9999999,29.4,0
92,40,11.64,9999999,21.4,0
198,97,16.07,9999999,43.7,0
198,125,13.34,9999999,39.7,0
182,97,13.58,9999999,36.6,0
182,125,13.86,9999999,37.2,0
54,74,14.2,9999999,27.2,0
182,27,14.84,9999999,38.8,0
54,231,15.44,9999999,36.3,0
182,232,9.63,9999999,26.4,0
